Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-10-05,Northeast,Connecticut,Hartford,Women's Apparel,70.0,275,192500.0,67375.0,0.35,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Men's Street Footwear,65.0,425,276250.0,110500.0,0.4,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Men's Athletic Footwear,55.00000000000001,300,165000.00000000003,66000.00000000001,0.4,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Women's Street Footwear,55.00000000000001,295,162250.00000000003,48675.00000000001,0.3,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55.00000000000001,275,151250.00000000003,45375.00000000001,0.3,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Men's Apparel,65.0,250,162500.0,48750.0,0.3,In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Women's Apparel,70.0,350,245000.0,85750.0,0.35,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Street Footwear,65.0,575,373750.0,149500.0,0.4,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Women's Street Footwear,55.00000000000001,350,192500.00000000003,57750.00000000001,0.3,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55.00000000000001,300,165000.00000000003,49500.00000000001,0.3,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Apparel,65.0,300,195000.0,58500.0,0.3,In-store
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Women's Apparel,70.0,400,280000.0,98000.0,0.35,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Street Footwear,35.0,425,148750.0,52062.5,0.35,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Athletic Footwear,35.0,225,78750.0,27562.5,0.35,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Women's Street Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Women's Athletic Footwear,30.0,75,22500.0,9000.0,0.4,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Apparel,45.0,125,56250.0,16875.0,0.3,In-store
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Women's Apparel,35.0,225,78750.0,31500.0,0.4,In-store
