Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1185732,2021-02-05,Northeast,Connecticut,Hartford,Women's Athletic Footwear,35.0,125,43750.0,13125.0,0.3,In-store
Sports Direct,1185732,2021-02-05,Northeast,Connecticut,Hartford,Men's Apparel,50.0,200,100000.0,30000.0,0.3,In-store
Sports Direct,1185732,2021-02-05,Northeast,Connecticut,Hartford,Women's Apparel,40.0,300,120000.0,42000.0,0.35,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Street Footwear,40.0,520,208000.0,83200.0,0.4,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,40.0,225,90000.0,36000.0,0.4,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Street Footwear,30.000000000000004,250,75000.00000000001,22500.000000000004,0.3,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,35.0,100,35000.0,10500.0,0.3,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,50.0,150,75000.0,22500.0,0.3,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,40.0,250,100000.0,35000.0,0.35,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Men's Street Footwear,40.0,500,200000.0,80000.0,0.4,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Men's Athletic Footwear,40.0,200,80000.0,32000.0,0.4,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Women's Street Footwear,30.000000000000004,200,60000.00000000001,18000.0,0.3,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Women's Athletic Footwear,35.0,125,43750.0,13125.0,0.3,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Men's Apparel,50.0,125,62500.0,18750.0,0.3,In-store
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Women's Apparel,40.0,275,110000.0,38500.0,0.35,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Street Footwear,54.99999999999999,545,299749.99999999994,119899.99999999999,0.4,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,50.0,250,125000.0,50000.0,0.4,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Women's Street Footwear,45.0,275,123750.0,37125.0,0.3,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,45.0,225,101250.0,30375.0,0.3,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Apparel,54.99999999999999,250,137499.99999999997,41249.99999999999,0.3,In-store
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Women's Apparel,60.0,375,225000.0,78750.0,0.35,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Men's Street Footwear,54.99999999999999,625,343749.99999999994,137499.99999999997,0.4,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Men's Athletic Footwear,50.0,375,187500.0,75000.0,0.4,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Women's Street Footwear,45.0,300,135000.0,40500.0,0.3,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Women's Athletic Footwear,45.0,275,123750.0,37125.0,0.3,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Men's Apparel,54.99999999999999,275,151249.99999999997,45374.99999999999,0.3,In-store
Sports Direct,1185732,2021-06-05,Northeast,Connecticut,Hartford,Women's Apparel,60.0,425,255000.0,89250.0,0.35,In-store
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Men's Street Footwear,54.99999999999999,650,357499.99999999994,142999.99999999997,0.4,In-store
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,50.0,400,200000.0,80000.0,0.4,In-store
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Women's Street Footwear,45.0,325,146250.0,43875.0,0.3,In-store
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,45.0,275,123750.0,37125.0,0.3,In-store
Sports Direct,1185732,2021-07-03,Northeast,Connecticut,Hartford,Men's Apparel,54.99999999999999,300,164999.99999999997,49499.99999999999,0.3,In-store
