Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Street Footwear,70.00000000000001,550,385000.00000000006,134750.0,0.35,In-store
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,70.00000000000001,550,385000.00000000006,134750.0,0.35,In-store
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Men's Apparel,80.00000000000001,475,380000.00000000006,152000.00000000003,0.4,In-store
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,85.00000000000001,575,488750.00000000006,146625.0,0.3,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Street Footwear,35.0,750,262500.0,131250.0,0.5,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Athletic Footwear,35.0,550,192500.0,77000.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Street Footwear,25.0,550,137500.0,41250.0,0.3,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Athletic Footwear,29.999999999999993,400,119999.99999999997,41999.999999999985,0.35,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Apparel,45.00000000000001,450,202500.00000000003,81000.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Apparel,35.0,550,192500.0,105875.00000000001,0.55,In-store
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Street Footwear,35.0,800,280000.0,140000.0,0.5,In-store
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Athletic Footwear,35.0,450,157500.0,62999.99999999999,0.39999999999999997,In-store
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Women's Street Footwear,25.0,500,125000.0,37500.0,0.3,In-store
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Street Footwear,64.0,154,9856.0,4730.88,0.48,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,67.0,160,10720.0,5360.0,0.5,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Men's Apparel,72.0,133,9576.0,4883.76,0.51,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,82.0,150,12300.0,5289.0,0.43,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Street Footwear,34.0,203,6902.0,4210.22,0.61,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Athletic Footwear,34.0,154,5236.0,2670.36,0.51,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,149,3427.0,1370.8000000000002,0.4,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Athletic Footwear,29.0,116,3364.0,1682.0,0.5,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Apparel,43.0,122,5246.0,2727.92,0.52,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Apparel,33.0,138,4554.0,3096.7200000000003,0.68,Online
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Street Footwear,34.0,200,6800.0,4284.0,0.63,Online
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Athletic Footwear,33.0,117,3861.0,2007.72,0.52,Online
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,150,3450.0,1483.5,0.43,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Street Footwear,53.0,165,8745.0,3497.9999999999995,0.39999999999999997,Outlet
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,51.0,176,8976.0,3500.6399999999994,0.38999999999999996,Outlet
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Men's Apparel,59.0,157,9263.0,3890.4600000000005,0.42000000000000004,Outlet
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,65.0,190,12350.0,4322.5,0.35,Outlet
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Men's Street Footwear,23.0,233,5359.0,2786.6800000000003,0.52,Outlet
