Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2021-08-15,South,Texas,Dallas,Men's Apparel,40.0,375,150000.0,37500.0,0.25,Outlet
Sports Direct,1197831,2021-08-16,South,Texas,Dallas,Women's Apparel,35.0,525,183750.0,82687.5,0.45,Outlet
Sports Direct,1197831,2021-08-17,South,Texas,Dallas,Men's Street Footwear,25.0,675,168750.0,50625.0,0.3,Outlet
Sports Direct,1197831,2021-08-18,South,Texas,Dallas,Men's Athletic Footwear,35.0,650,227500.0,68250.0,0.3,Outlet
Sports Direct,1197831,2021-08-19,South,Texas,Dallas,Women's Street Footwear,35.0,475,166250.0,49875.0,0.3,Outlet
Sports Direct,1197831,2021-08-20,South,Texas,Dallas,Women's Athletic Footwear,35.0,425,148750.0,59500.0,0.4,Outlet
Sports Direct,1197831,2021-08-21,South,Texas,Dallas,Men's Apparel,40.0,300,120000.0,30000.0,0.25,Outlet
Sports Direct,1197831,2021-08-22,South,Texas,Dallas,Women's Apparel,35.0,500,175000.0,78750.0,0.45,Outlet
Sports Direct,1197831,2021-08-23,South,Texas,Dallas,Men's Street Footwear,30.0,675,202500.0,70875.0,0.35,Outlet
Sports Direct,1197831,2021-08-24,South,Texas,Dallas,Men's Athletic Footwear,40.0,675,270000.0,94500.0,0.35,Outlet
Sports Direct,1197831,2021-08-25,South,Texas,Dallas,Women's Street Footwear,30.0,500,150000.0,52500.0,0.35,Outlet
Sports Direct,1197831,2021-08-26,South,Texas,Dallas,Women's Athletic Footwear,35.0,400,140000.0,63000.0,0.45,Outlet
Sports Direct,1197831,2021-08-27,South,Texas,Dallas,Men's Apparel,40.0,300,120000.0,36000.0,0.3,Outlet
Sports Direct,1197831,2021-08-28,South,Texas,Dallas,Women's Apparel,35.0,450,157500.0,78750.0,0.5,Outlet
Sports Direct,1197831,2021-08-29,South,Texas,Dallas,Men's Street Footwear,20.0,700,140000.0,49000.0,0.35,Outlet
Sports Direct,1197831,2021-08-30,South,Texas,Dallas,Men's Athletic Footwear,30.000000000000004,700,210000.00000000003,73500.0,0.35,Outlet
Sports Direct,1197831,2021-08-31,South,Texas,Dallas,Women's Street Footwear,24.999999999999996,525,131249.99999999997,45937.499999999985,0.35,Outlet
Sports Direct,1197831,2021-09-01,South,Texas,Dallas,Women's Athletic Footwear,30.000000000000004,425,127500.00000000001,57375.00000000001,0.45,Outlet
Sports Direct,1197831,2021-09-02,South,Texas,Dallas,Men's Apparel,35.0,325,113750.0,34125.0,0.3,Outlet
Sports Direct,1197831,2021-09-03,South,Texas,Dallas,Women's Apparel,30.000000000000004,600,180000.00000000003,90000.00000000001,0.5,Outlet
Sports Direct,1197831,2021-09-04,South,Texas,Dallas,Men's Street Footwear,20.0,750,150000.0,52500.0,0.35,Outlet
Sports Direct,1197831,2021-09-05,South,Texas,Dallas,Men's Athletic Footwear,30.000000000000004,775,232500.00000000003,81375.0,0.35,Outlet
Sports Direct,1197831,2021-09-06,South,Texas,Dallas,Women's Street Footwear,24.999999999999996,625,156249.99999999997,54687.499999999985,0.35,Outlet
Sports Direct,1197831,2021-09-07,South,Texas,Dallas,Women's Athletic Footwear,35.0,550,192500.0,86625.0,0.45,Outlet
Sports Direct,1197831,2021-09-08,South,Texas,Dallas,Men's Apparel,50.0,450,225000.0,67500.0,0.3,Outlet
Sports Direct,1197831,2021-09-09,South,Texas,Dallas,Women's Apparel,45.0,800,360000.0,180000.0,0.5,Outlet
Sports Direct,1197831,2021-09-10,South,Texas,Dallas,Men's Street Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Sports Direct,1197831,2021-09-11,South,Texas,Dallas,Men's Athletic Footwear,50.0,800,400000.0,140000.0,0.35,Outlet
Sports Direct,1197831,2021-09-12,South,Texas,Dallas,Women's Street Footwear,45.0,650,292500.0,102375.0,0.35,Outlet
Sports Direct,1197831,2021-09-13,South,Texas,Dallas,Women's Athletic Footwear,45.0,600,270000.0,121500.0,0.45,Outlet
Sports Direct,1197831,2021-09-14,South,Texas,Dallas,Men's Apparel,50.0,500,250000.0,75000.0,0.3,Outlet
Sports Direct,1197831,2021-09-15,South,Texas,Dallas,Women's Apparel,55.00000000000001,875,481250.00000000006,240625.00000000003,0.5,Outlet
Sports Direct,1197831,2021-09-16,South,Texas,Dallas,Men's Street Footwear,45.0,825,371250.0,148500.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-17,South,Texas,Dallas,Men's Athletic Footwear,50.0,825,412500.0,165000.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,45.0,975,438750.0,175499.99999999997,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-19,South,Texas,Dallas,Women's Athletic Footwear,45.0,575,258750.0,129375.0,0.5,Outlet
Sports Direct,1197831,2021-09-20,South,Texas,Dallas,Men's Apparel,50.0,575,287500.0,100625.0,0.35,Outlet
Sports Direct,1197831,2021-09-21,South,Texas,Dallas,Women's Apparel,60.0,850,510000.0,280500.0,0.55,Outlet
Sports Direct,1197831,2021-09-22,South,Texas,Dallas,Men's Street Footwear,50.0,800,400000.0,160000.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-23,South,Texas,Dallas,Men's Athletic Footwear,55.00000000000001,800,440000.00000000006,176000.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,50.0,975,487500.0,194999.99999999997,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-25,South,Texas,Dallas,Women's Athletic Footwear,50.0,525,262500.0,131250.0,0.5,Outlet
Sports Direct,1197831,2021-09-26,South,Texas,Dallas,Men's Apparel,55.00000000000001,525,288750.00000000006,101062.50000000001,0.35,Outlet
Sports Direct,1197831,2021-09-27,South,Texas,Dallas,Women's Apparel,60.0,775,465000.0,255750.00000000003,0.55,Outlet
Sports Direct,1197831,2021-09-28,South,Texas,Dallas,Men's Street Footwear,55.00000000000001,725,398750.00000000006,159500.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-29,South,Texas,Dallas,Men's Athletic Footwear,55.00000000000001,675,371250.00000000006,148500.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-09-30,South,Texas,Dallas,Women's Street Footwear,60.0,725,435000.0,174000.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-10-01,South,Texas,Dallas,Women's Athletic Footwear,60.0,450,270000.0,135000.0,0.5,Outlet
Sports Direct,1197831,2021-10-02,South,Texas,Dallas,Men's Apparel,55.00000000000001,450,247500.00000000003,86625.0,0.35,Outlet
Sports Direct,1197831,2021-10-03,South,Texas,Dallas,Women's Apparel,50.0,675,337500.0,185625.00000000003,0.55,Outlet
Sports Direct,1197831,2021-10-04,South,Texas,Dallas,Men's Street Footwear,40.0,625,250000.0,99999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-10-05,South,Texas,Dallas,Men's Athletic Footwear,40.0,625,250000.0,99999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-10-06,South,Texas,Dallas,Women's Street Footwear,45.0,575,258750.0,103499.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-10-07,South,Texas,Dallas,Women's Athletic Footwear,45.0,425,191250.0,95625.0,0.5,Outlet
Sports Direct,1197831,2021-10-08,South,Texas,Dallas,Men's Apparel,40.0,400,160000.0,56000.0,0.35,Outlet
Sports Direct,1197831,2021-10-09,South,Texas,Dallas,Women's Apparel,50.0,575,287500.0,158125.0,0.55,Outlet
Sports Direct,1197831,2021-10-10,South,Texas,Dallas,Men's Street Footwear,40.0,725,290000.0,115999.99999999999,0.39999999999999997,Outlet
