Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2021-03-14,South,Tennessee,Knoxville,Men's Apparel,40.0,350,140000.0,42000.0,0.3,Outlet
Sports Direct,1197831,2021-03-15,South,Tennessee,Knoxville,Women's Apparel,35.0,500,175000.0,87500.0,0.5,Outlet
Sports Direct,1197831,2021-03-16,South,Tennessee,Knoxville,Men's Street Footwear,25.0,650,162500.0,56875.0,0.35,Outlet
Sports Direct,1197831,2021-03-17,South,Tennessee,Knoxville,Men's Athletic Footwear,35.0,625,218750.0,76562.5,0.35,Outlet
Sports Direct,1197831,2021-03-18,South,Tennessee,Knoxville,Women's Street Footwear,35.0,450,157500.0,55125.0,0.35,Outlet
Sports Direct,1197831,2021-03-19,South,Tennessee,Knoxville,Women's Athletic Footwear,35.0,400,140000.0,63000.0,0.45,Outlet
Sports Direct,1197831,2021-03-20,South,Tennessee,Knoxville,Men's Apparel,40.0,275,110000.0,33000.0,0.3,Outlet
Sports Direct,1197831,2021-03-21,South,Tennessee,Knoxville,Women's Apparel,35.0,475,166250.0,83125.0,0.5,Outlet
Sports Direct,1197831,2021-03-22,South,Tennessee,Knoxville,Men's Street Footwear,30.0,650,195000.0,78000.0,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-23,South,Tennessee,Knoxville,Men's Athletic Footwear,40.0,650,260000.0,103999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-24,South,Tennessee,Knoxville,Women's Street Footwear,30.0,475,142500.0,56999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-25,South,Tennessee,Knoxville,Women's Athletic Footwear,35.0,375,131250.0,65625.0,0.5,Outlet
Sports Direct,1197831,2021-03-26,South,Tennessee,Knoxville,Men's Apparel,40.0,275,110000.0,38500.0,0.35,Outlet
Sports Direct,1197831,2021-03-27,South,Tennessee,Knoxville,Women's Apparel,35.0,425,148750.0,81812.5,0.55,Outlet
Sports Direct,1197831,2021-03-28,South,Tennessee,Knoxville,Men's Street Footwear,20.0,675,135000.0,53999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-29,South,Tennessee,Knoxville,Men's Athletic Footwear,25.000000000000007,675,168750.00000000006,67500.00000000001,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-30,South,Tennessee,Knoxville,Women's Street Footwear,19.999999999999996,500,99999.99999999999,39999.99999999999,0.39999999999999997,Outlet
Sports Direct,1197831,2021-03-31,South,Tennessee,Knoxville,Women's Athletic Footwear,25.000000000000007,400,100000.00000000003,50000.000000000015,0.5,Outlet
Sports Direct,1197831,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,30.0,300,90000.0,31499.999999999996,0.35,Outlet
Sports Direct,1197831,2021-04-02,South,Tennessee,Knoxville,Women's Apparel,25.000000000000007,575,143750.00000000003,79062.50000000003,0.55,Outlet
